id,title,overview,genres,popularity,vote_average,poster_path,backdrop_path,release_date,media_type,timestamp
1315303,Primate,"Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp.","27, 53",250.6141,6.586,/57cyAMc9c8iveudogTRuDOQjujn.jpg,/9uakM2woks0JV8HKIc4oatIVS88.jpg,2026-01-01,movie,2026-02-15 23:40:48.798638
1317672,Love Me Love Me,"After her brother's death, June moves to Milan for a fresh start, finding comfort in Will, the perfect honor student at her new international school. But when his troubled best friend James-hiding a dangerous life in clandestine MMA fights-sparks a rivalry that quickly turns into irresistible attraction, June must choose between safety and a love that upends everything she thought she wanted.","10749, 18",196.3749,6.167,/4QWAPETLYZosiwXQCTMu1KerXxI.jpg,/o0jRpVznKXuLvoXQX9UTKVtGjxK.jpg,2026-02-12,movie,2026-02-15 23:40:48.798638
1242898,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.","28, 878, 12",169.0532,7.731,/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg,/82lM4GJ9uuNvNDOEpxFy77uv4Ak.jpg,2025-11-05,movie,2026-02-15 23:40:48.798638
224372,A Knight of the Seven Kingdoms,"A century before the events of Game of Thrones, two unlikely heroes wandered Westeros: a young, naive but courageous knight, Ser Duncan the Tall, and his diminutive squire, Egg. Set in an age when the Targaryen line still holds the Iron Throne and the last dragon has not yet passed from living memory, great destinies, powerful foes, and dangerous exploits await these improbable and incomparable friends.","18, 10765, 10759",214.0248,8.3,/abrZg2iodq4XeBngpNESOgfPvBM.jpg,/7mkUu1F2hVUNgz24xO8HPx0D6mK.jpg,2026-01-18,tv,2026-02-15 23:40:48.798638
858024,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.","18, 10749, 36",82.4111,7.76,/vbeyOZm2bvBXcbgPD3v6o94epPX.jpg,/73BClq9FOcrWrutnpiqhCNEWEwJ.jpg,2025-11-26,movie,2026-02-15 23:40:48.798638
1316092,“Wuthering Heights”,"Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.","10749, 18",155.6359,6.844,/3YBce6dTh1D5oCMITXk2S5QhPt.jpg,/oGAYQOhfuXMh9Cpp4LNfzI5uDS3.jpg,2026-02-11,movie,2026-02-15 23:40:48.798638
1317288,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",18,162.1375,7.61,/lYWEXbQgRTR4ZQleSXAgRbxAjvq.jpg,/bHtlDAORBQiYKCJMwDP9WBgcQHM.jpg,2025-12-19,movie,2026-02-15 23:40:48.798638
425274,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.","53, 80, 9648",69.5051,6.5,/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,/dHSz0tSFuO2CsXJ1CApSauP9Ncl.jpg,2025-11-12,movie,2026-02-15 23:40:48.798638
1084242,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","16, 35, 12, 10751, 9648",227.8124,7.607,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,/7nfpkR9XsQ1lBNCXSSHxGV7Dkxe.jpg,2025-11-26,movie,2026-02-15 23:40:48.798638
1243460,Joe's College Road Trip,"To teach his sheltered grandson about the real world, Madea's foul-mouthed brother Joe takes the college-bound teen on a raucous cross-country road trip.",35,69.1026,4.46,/jWGOCUlzF4aCVLwHoiuqWWfhcrA.jpg,/dbr3eceKuGnKc9v5GaVTVtegZNK.jpg,2026-02-12,movie,2026-02-15 23:40:48.798638
